Timestamp dT0 sum(dT0) dT1 sum(dT1) dT2 sum(dT2) L0 L1N L1S L2 30S(Tg) 15S(Tg) 15N(Tg) 30N(Tg)
2035 0.13 0.13 0.01 0.01 -0.03 -0.03 0.0140 0 0 0 0. 0.5205 0.5205 0.
2036 -0.508693070772 -0.378693070772 0.00460680322682 0.0146068032268 -0.0290115821849 -0.0590115821849 0.0175721667219 0.000614140240997 0 0 0. 0.50874079 0.53637711 0.0122828
2037 -0.301035741988 -0.67972881276 0.0428829246068 0.0574897278336 -0.0256038261413 -0.0846154083262 0.0171108034592 0.00445906359965 0 0 0. 0.3795522 0.58021006 0.08918127
2038 -0.350548692041 -1.0302775048 0.00949662142792 0.0669863492615 0.022350314943 -0.0622650933832 0.0125985283587 0.00800394210815 0 0.0016248364608 0.06499346 0.08909249 0.44926989 0.2250723
2039 -0.245088663473 -1.27536616827 0.0821073621935 0.149093711455 0.0476419090629 -0.0622650933832 0.00897054126324 0.00897054126324 0 0.0 0. 0. 0.40367436 0.17941083
2040 -0.103733610019 -1.37909977829 0.0607361326627 0.209829844118 -0.00150461708583 -0.0622650933832 0.00756414899396 0.00756414899396 0 0.0 0. 0. 0.3403867 0.15128298
2041 -0.0305027317688 -1.40960251006 -0.00608695322073 0.203742890897 -0.0270476343901 -0.0622650933832 0.0118160740746 0.0118160740746 0 0 0. 0. 0.53172333 0.23632148
2042 0.240122454024 -1.16948005604 0.103567584733 0.30731047563 0.0227209263406 -0.0622650933832 0.0246327558832 0.0246327558832 0 0.0 0. 0. 1.10847401 0.49265512
2043 0.175438304427 -0.994041751613 0.130948019944 0.438258495574 -0.000343354366427 -0.0622650933832 0.0301295569165 0.0301295569165 0 0 0. 0. 1.35583006 0.60259114
2044 0.0704672821435 -0.923574469469 0.131220750158 0.569479245732 0.0393159715156 -0.0622650933832 0.0329681384719 0.0329681384719 0 0.0 0. 0. 1.48356623 0.65936277
2045 -0.100577880113 -1.02415234958 0.153448175022 0.722927420754 0.140909057908 -0.0622650933832 0.0314674367966 0.0314674367966 0 0.0 0. 0. 1.41603466 0.62934874
