Timestamp dT0 sum(dT0) dT1 sum(dT1) dT2 sum(dT2) L0 L1N L1S L2 30S(Tg) 15S(Tg) 15N(Tg) 30N(Tg)
2035 0.13 0.13 0.01 0.01 -0.03 -0.03 0.0140 0 0 0 0. 0.5205 0.5205 0.
2036 0.282876597296 0.412876597296 -0.0103392350627 -0.000339235062677 -0.0331868325777 -0.0631868325777 0.0233664566922 0 0.000415463429308 0 0.00830927 0.70722565 0.6885298 0.
2037 0.248563928034 0.66144052533 0.0135659507438 0.0132267156811 0.00871462134232 -0.0544722112354 0.0309512325986 0 0.000525251407007 0 0.01050503 0.93641575 0.91277944 0.
2038 0.125644712967 0.787085238297 0.042256718784 0.0554834344651 0.115902846762 0.0614306355262 0.0377817748649 0.00140936766433 0 0.0271837629654 1.08735052 0.27565933 0.33908087 1.11553787
2039 0.207004329727 0.994089568024 0.0228081563161 0.0782915907812 -0.0240694805146 0.0373611550116 0.0488140146631 0 0.000943357100094 0 0.01886714 1.4785708 1.43611973 0.
2040 0.204860756917 1.19895032494 0.0122636518221 0.0905552426033 -0.0277768154719 0.00958433953969 0.060389742798 0 0.00510260864876 0 0.10205217 1.88823141 1.65861402 0.
2041 -0.0543840954303 1.14456622951 0.0144629154725 0.105018158076 0.0555619856363 0.065146325176 0.0581203330537 0 0.000978241688635 0.0177106599198 0.72799123 1.22696382 1.18294294 0.7084264
2042 0.0252162814854 1.169782511 -0.0628372588547 0.0421808992213 -0.0964654715294 -0.0313191463534 0.0635084779024 0 0.0124896628316 0 0.24979326 2.09259928 1.53056445 0.
2043 0.141833876172 1.31161638717 -0.0469696356369 -0.00478873641561 -0.0488977703553 -0.0802169167087 0.0717081398192 0 0.0171964753251 0 0.34392951 2.40919132 1.63534993 0.
2044 -0.179089038653 1.13252734852 -0.0528160034941 -0.0576047399097 0.0398722386859 -0.0403446780228 0.0660279210705 0 0.0170386425136 0 0.34077285 2.23641727 1.46967836 0.
2045 0.0378999528452 1.17042730137 0.0101720815804 -0.0474326583293 0.00873024030013 -0.0316144377227 0.074162388752 0 0.0138619158052 0 0.27723832 2.4328004 1.80901419 0.
2046 0.168701156973 1.33912845834 -0.0706988076334 -0.118131465963 0.000957763218601 -0.0306566745041 0.0831132819603 0 0.0280155605819 0 0.56031121 2.91363187 1.65293164 0.
2047 0.0250101103815 1.36413856872 -0.0697506790646 -0.187882145028 0.0185812732025 -0.0120754013016 0.0844114208276 0 0.0321104620679 0 0.64220924 3.01399956 1.56902876 0.
2048 0.0772167803972 1.44135534912 -0.0528912676472 -0.240773412675 0.0201146703823 0.00803926908074 0.0902498699701 0 0.0360078854133 0 0.72015771 3.24761438 1.62725954 0.
2049 -0.0896685024858 1.35168684663 -0.0807282753052 -0.32150168798 0.00869489826445 0.0167341673452 0.0890249356979 0 0.0418353840843 0 0.83670768 3.29827883 1.41568655 0.
2050 0.0655019349134 1.41718878154 -0.0731628872088 -0.394664575189 0.0180247725924 0.0347589399376 0.0965332401112 0 0.0487940279741 0 0.97588056 3.62790762 1.43217636 0.
2051 0.197742438897 1.61493122044 0.0104027720734 -0.384261803116 -0.0199922342296 0.014766705708 0.106041927966 0 0.0447375490204 0 0.89475098 3.85232107 1.83913137 0.
