Timestamp dT0 sum(dT0) dT1 sum(dT1) dT2 sum(dT2) L0 L1N L1S L2 30S(Tg) 15S(Tg) 15N(Tg) 30N(Tg) 
2035 0.13 0.13 0.01 0.01 -0.03 -0.03 0.0140 0 0 0 0. 0.5205 0.5205 0. 
2036 0.37171396029 0.50171396029 0.0261039579317 0.0361039579317 -0.019939751107 -0.049939751107 0.0240167461893 0.000617176593969 0 0 0. 0.70198709 0.72976003 0.01234353 
2037 0.234109627663 0.735823587953 -0.0397545796548 -0.00365062172309 -0.0254188499459 -0.0753586010529 0.0313899111383 0 0.00272734689317 0 0.05454694 0.98260754 0.85987693 0. 
2038 0.13767469021 0.873498278163 -0.00838118652665 -0.0120318082497 0.0724563669575 -0.00290223409541 0.0388626791927 0 0.00425306286182 0.00635892615614 0.3394183 1.03890853 0.84752071 0.25435705 
2039 0.0497797780598 0.923278056223 0.0389829653773 0.0269511571276 0.000449035525129 -0.00245319857028 0.0454755666939 0 0.00172635513786 0 0.0345271 1.39016233 1.31247635 0. 
2040 0.135712372713 1.05899042894 0.059580514632 0.0865316717596 0.117423888279 0.114970689709 0.0565630612702 7.07170002071e-05 0 0.050644047062 2.02576188 0.17544892 0.17863118 2.02717622 
2041 0.0623059440357 1.12129637298 -0.046996454899 0.0395352168606 -0.0166073816578 0.0983633080512 0.0598299224013 0 0.0113917924249 0.00384792663343 0.38175291 1.85033676 1.3377061 0.15391707 
2042 -0.0197956519266 1.10150072105 -0.0549971636778 -0.0154619468172 0.0402067028386 0.13857001089 0.061435202765 0 0.0152031724028 0.0359831319182 1.74338872 0.99160971 0.30746695 1.43932528 
2043 -0.0259972484392 1.07550347261 -0.0821431342064 -0.0976050810236 -0.0214837950289 0.117086215861 0.0643159639023 0 0.023138022558 0.0106219913973 0.88764011 1.95788951 0.9166785 0.42487966 
2044 0.00080572478538 1.0763091974 -0.107579646945 -0.205184727968 -0.106782581739 0.0103036341224 0.0682912030759 0 0.0334067589689 0 0.66813518 2.54983748 1.04653332 0. 
2045 -0.0205509262673 1.05575827113 -0.0583295707807 -0.263514298749 -0.0116862045273 -0.00138257040489 0.070994294411 0 0.0337069905811 0 0.67413981 2.63543369 1.11861911 0. 
2046 0.0584797539466 1.11423802508 -0.0422356616945 -0.305749960443 -0.013501920251 -0.0148844906559 0.0769807353561 0 0.036933685025 0 0.7386737 2.86342734 1.20141151 0. 
